"geneID","PS","PR","Tsil","Trepl","FS","FR","nout","npop","BSnIPRE.class","BSnIPRE.est","BSnIPRE.lbound","BSnIPRE.ubound","BSnIPRE.pneg","BSnIPRE.Rest","BSnIPRE.Rlbound","BSnIPRE.Rubound","BSnIPRE.Rclass","BSnIPRE.tau","BSnIPRE.theta","BSnIPRE.gamma","BSnIPRE.f","BSnIPRE.f.lb","BSnIPRE.f.ub","BSnIPRE.f.class"
"PF3D7_0100700",1,14,35,165,11,4,1,315,"neg",-2.95494427792667,-4.22091443121764,-1.59855736709424,1,0.193561283433366,-0.495321863887893,0.813556292074153,"neut",35.6089592989776,0.0084840385534172,-2.57742411545068,1.76048068733286,0.884001537628625,3.2725961759125,"neut"
"PF3D7_0100900",46,242,188,765,208,102,1,315,"neg",-2.45107125971046,-2.84708607472667,-2.09437132495866,1,0.263464886406883,-0.00112351380411078,0.558273561353267,"neut",29.1568345914643,0.0373837825946452,-2.2091194739728,1.81082406775959,1.38985183629707,2.43170427145813,"pos"
"PF3D7_0102200",29,42,270,1256,203,61,1,315,"neg",-1.90396855913026,-2.44171224925622,-1.40557228634764,1,-0.778148788005209,-1.16221136431292,-0.366412732292149,"neg",58.1738889749605,0.012448407256786,-1.74994421519635,0.602737287247697,0.410518599333444,0.909792036870472,"neg"
"PF3D7_0102300",0,4,64,286,6,8,1,315,"neut",-0.614432475327063,-1.96240584968648,0.789945600830023,0.811733333333333,-0.89744334174447,-1.66192610961964,-0.144967050148703,"neg",28.5512418307336,0.00342941972681141,-0.664813400032785,0.407610367727058,0.189749421115278,0.86504976499684,"neg"
"PF3D7_0102500",10,46,797,3651,468,123,1,315,"neg",-2.58338394061184,-3.1042171415228,-2.08502148610642,1,-0.260990111328342,-0.708296497901898,0.196479068142641,"neut",231.688900396159,0.0025090957045595,-2.21785260879398,1.07287884075961,0.685960568856372,1.69526652829981,"neut"
"PF3D7_0102600",3,19,315,1571,43,28,1,315,"neg",-1.54137835637395,-2.34121610375869,-0.734835034606744,0.9992,-0.518390231037665,-1.07538066042938,0.00772007627859499,"neut",46.0644304929084,0.00289859540028504,-1.47150199196375,0.751624363572631,0.430626864835927,1.27199677816394,"neut"
"PF3D7_0102700",1,8,119,708,18,6,1,315,"neg",-2.01886673247112,-3.1863581454792,-0.88889628484991,1,-0.481304700283233,-1.13241448158029,0.195937392273447,"neut",45.8971721257765,0.00284178418427198,-1.84658052865625,0.821589623336537,0.428431383077644,1.61725117763133,"neut"
"PF3D7_0102800",4,17,249,1550,16,10,1,315,"neg",-1.5021909689329,-2.47465886566655,-0.483787638286435,0.998133333333333,-0.613170706466156,-1.18469278252127,-0.0374631659853401,"neg",17.3673654934469,0.00315192794197464,-1.48294067867254,0.68478614919289,0.386684067214328,1.21781357284725,"neut"
"PF3D7_0102900",9,8,320,1557,10,23,1,315,"neut",0.631044785285181,-0.292956645648705,1.66130418307965,0.108266666666667,-1.4915847818961,-2.10295368700262,-0.916029462444918,"neg",7.75502334159511,0.00375563490385335,0.947158166036064,0.225015039984204,0.12209380074919,0.400091312786402,"neg"
"PF3D7_0103000",4,5,137,639,8,8,1,315,"neut",-0.448465968956998,-1.61482003409761,0.827377424528072,0.744533333333333,-1.07697064876176,-1.75574913912176,-0.41003000915303,"neg",13.4059863933222,0.00371849574311273,-0.510092878057016,0.340625779792521,0.172805025706452,0.663630186512619,"neg"
"PF3D7_0103100",25,87,676,3955,137,55,1,315,"neg",-2.19179554556819,-2.6893595964987,-1.7276772754693,1,-0.437828016841963,-0.78974089448591,-0.058869026129989,"neg",36.1478762063832,0.00535867117675176,-1.99167601615192,0.874357072589301,0.614971632359582,1.27723001070411,"neut"
"PF3D7_0103200",3,12,231,1070,16,38,1,315,"neut",0.134901996808736,-0.758376178413778,1.0372038516227,0.377066666666667,-1.05946488942489,-1.63182726893174,-0.488937002221939,"neg",20.0695616944335,0.00381326304044518,0.169697570261629,0.346630126631783,0.19557193026319,0.613277004086098,"neg"
"PF3D7_0103300",16,31,427,2326,82,76,1,315,"neg",-0.867499642309771,-1.42040014474994,-0.289170396371172,0.997066666666667,-0.914444627251101,-1.36980579968961,-0.473619954837129,"neg",35.3726904993689,0.00522451475529731,-0.900781492445036,0.463535180451342,0.293982847100413,0.720359700078727,"neg"
"PF3D7_0103400",34,88,743,3999,110,56,1,315,"neg",-1.6995745646708,-2.18312235910525,-1.25140049759373,1,-0.619293547642149,-0.939493991741377,-0.283088160436231,"neg",21.2647625523567,0.00653415388941295,-1.63465251362996,0.695413962981899,0.50486455671741,0.973308749701221,"neg"
"PF3D7_0103500",31,101,841,4594,202,93,1,315,"neg",-1.99337878653833,-2.4025815543054,-1.57745231013355,1,-0.467306779211026,-0.785642075904807,-0.143149653610869,"neg",41.963845710508,0.00556560828843043,-1.83087208469278,0.831442458765682,0.604755812131885,1.14976093303321,"neut"
"PF3D7_0103600",16,89,673,3751,156,70,1,315,"neg",-2.35618157921021,-2.84806831337571,-1.88401537996584,1,-0.163739963555117,-0.533136667787394,0.228859366058664,"neut",53.0213094175596,0.00428852588456451,-2.09486745264572,1.16499684759693,0.805194507197512,1.72516672955877,"neut"
"PF3D7_0103700",11,19,255,1349,28,23,1,315,"neg",-0.922634892992955,-1.71594040632109,-0.166537443958016,0.990133333333333,-0.899321968880578,-1.39224213365102,-0.387105642557798,"neg",18.1357582924911,0.00553440566193474,-0.968242866153714,0.475674935405929,0.290561581325525,0.793884031325656,"neg"
"PF3D7_0103800",3,3,229,910,2,22,1,315,"pos",1.90742070126865,0.564518570441178,3.28486923361946,8e-04,-1.89140864733694,-2.65901331259839,-1.16968123530205,"neg",6.28317329916061,0.00272291093433548,5.40858106635938,0.104340367759136,0.0484275696812844,0.214730800350144,"neg"
"PF3D7_0103900",7,6,277,1435,39,42,1,315,"neut",-0.158928079437355,-0.939673399976274,0.623808462207931,0.6632,-1.34869877929072,-1.93427265593166,-0.775715815114424,"neg",41.4987670231456,0.0032215512161054,-0.185023222926629,0.259572337157005,0.144528086678417,0.460371777640623,"neg"
"PF3D7_0104000",0,4,89,399,13,5,1,315,"neg",-1.50546416675153,-2.78887774385499,-0.250011373743002,0.991466666666667,-0.656168708443968,-1.39637513142265,0.055615526845092,"neut",46.3877172317561,0.00268077761412526,-1.44226678991217,0.652106963121419,0.311064865716386,1.32874865482418,"neut"
"PF3D7_0104100",10,84,419,1953,64,34,1,315,"neg",-2.41258505993304,-3.04504042732787,-1.80983823635988,1,0.151597421792403,-0.261247920944012,0.589255725277756,"neut",27.3897180765512,0.00541380439412377,-2.18520428322334,1.61454773380155,1.06842372371363,2.50105458059324,"pos"
"PF3D7_0104200",6,15,240,1145,33,21,1,315,"neg",-1.25675418898457,-2.02848084000338,-0.392883894323908,0.998933333333333,-0.722633151220047,-1.26463212290629,-0.196786829544898,"neg",31.559511492374,0.00410082078402547,-1.24647367396125,0.592658580265374,0.34467999130998,1.0027017024573,"neut"
"PF3D7_0104300",55,203,1562,8754,322,221,1,315,"neg",-1.67210250525066,-1.99048958395081,-1.35882086915194,1,-0.432364372959841,-0.704496708204896,-0.173504213435092,"neg",35.8774849268334,0.00558933855275409,-1.58485580288313,0.832519697734378,0.634174599014263,1.07846153162964,"neut"
"PF3D7_0104400",4,5,289,1303,45,50,1,315,"neut",-0.0880008235842112,-0.902299970812044,0.663887726928796,0.5824,-1.3045225931227,-1.90751097059121,-0.705500705475644,"neg",62.2896598389163,0.00244437581040961,-0.103439716398547,0.271294586164386,0.148448817044173,0.493854536190295,"neg"
"PF3D7_0104500",3,2,135,690,18,18,1,315,"neut",-0.2704607036163,-1.25780986771328,0.794237333919357,0.694933333333333,-1.28055931827983,-1.96782980006005,-0.636046499614774,"neg",43.3923728031621,0.00274838441043856,-0.307977591992688,0.277874785484421,0.139756794282264,0.529368500784298,"neg"
"PF3D7_0104600",32,72,618,3368,160,90,1,315,"neg",-1.49439916819638,-1.93906155160957,-1.03413824258939,1,-0.755243705736005,-1.10414271127257,-0.396673981530986,"neg",34.0377041071707,0.0073013412895817,-1.44265456649745,0.590627565720117,0.416668540582393,0.845357446782129,"neg"
"PF3D7_0104700",6,22,357,1775,43,25,1,315,"neg",-1.53829071215379,-2.28206223664679,-0.819923778683033,1,-0.578868339714821,-1.07606178801832,-0.0585787603080757,"neg",34.5477041491119,0.00329625935629854,-1.47807088273598,0.708175586659555,0.430742766750773,1.19152760595453,"neut"
"PF3D7_0104800",10,8,322,1408,26,25,1,315,"neut",-0.156226092650919,-1.03249628903099,0.699524744372055,0.645066666666667,-1.29220936904247,-1.84626264271979,-0.731353355532812,"neg",19.0455359808564,0.00387482243994824,-0.184953523756826,0.274655322824566,0.15782581214166,0.481252415783875,"neg"
